Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
0.12,0.06,,0.07,11.03,,,,,,,,0.9,73.37,,,,,,,,,,,,,,,,,
0.22,0.06,,0.07,11.03,,,,,,,,0.91,73.37,,,,,,,,,,,,,,,,,
0.34,0.07,,0.08,11.03,,,,,,,,0.92,73.38,,,,,,,,,,,,,,,,,
0.46,0.09,,0.08,11.03,,,,,,,,0.93,73.39,,,,,,,,,,,,,,,,,
0.56,0.1,,0.09,11.03,,,,,,,,0.93,73.4,,,,,,,,,,,,,,,,,
0.66,0.11,,0.09,11.03,,,,,,,,0.94,73.41,,,,,,,,,,,,,,,,,
0.76,0.12,,0.1,11.03,,,,,,,,0.96,73.42,,,,,,,,,,,,,,,,,
0.86,0.13,,0.11,11.03,,,,,,,,0.97,73.43,,,,,,,,,,,,,,,,,
0.96,0.14,,0.11,11.03,,,,,,,,0.98,73.44,,,,,,,,,,,,,,,,,
1.06,0.15,,0.12,11.03,,,,,,,,1,73.46,,,,,,,,,,,,,,,,,
1.2,0.17,,0.12,11.03,,,,,,,,1.02,73.48,,,,,,,,,,,,,,,,,
1.32,0.19,,0.13,11.03,,,,,,,,1.04,73.5,,,,,,,,,,,,,,,,,
1.44,0.2,,0.14,11.03,,,,,,,,1.06,73.53,,,,,,,,,,,,,,,,,
1.54,0.22,,0.14,11.03,,,,,,,,1.08,73.55,,,,,,,,,,,,,,,,,
1.68,0.24,,0.15,11.03,,,,,,,,1.12,73.58,,,,,,,,,,,,,,,,,
1.78,0.26,,0.16,11.03,,,,,,,,1.14,73.61,,,,,,,,,,,,,,,,,
1.9,0.28,,0.16,11.03,,,,,,,,1.17,73.64,,,,,,,,,,,,,,,,,
2,0.29,,0.17,11.03,,,,,,,,1.2,73.67,,,,,,,,,,,,,,,,,
2.1,0.31,,0.17,11.03,,,,,,,,1.23,73.7,,,,,,,,,,,,,,,,,
2.2,0.33,,0.18,11.03,,,,,,,,1.26,73.73,,,,,,,,,,,,,,,,,
2.32,0.35,,0.18,11.03,,,,,,,,1.31,73.77,,,,,,,,,,,,,,,,,
2.44,0.38,,0.19,11.03,,,,,,,,1.35,73.81,,,,,,,,,,,,,,,,,
2.54,0.4,,0.2,11.03,,,,,,,,1.39,73.85,,,,,,,,,,,,,,,,,
2.66,0.42,,0.2,11.03,,,,,,,,1.44,73.9,,,,,,,,,,,,,,,,,
2.78,0.45,,0.21,11.03,,,,,,,,1.49,73.96,,,,,,,,,,,,,,,,,
2.88,0.47,,0.21,11.03,,,,,,,,1.54,74,,,,,,,,,,,,,,,,,
2.98,0.5,,0.22,11.03,,,,,,,,1.59,74.05,,,,,,,,,,,,,,,,,
3.08,0.52,,0.23,11.03,,,,,,,,1.64,74.1,,,,,,,,,,,,,,,,,
3.18,0.54,,0.23,11.03,,,,,,,,1.69,74.15,,,,,,,,,,,,,,,,,
3.3,0.57,,0.24,11.03,,,,,,,,1.76,74.22,,,,,,,,,,,,,,,,,
3.4,0.6,,0.24,11.03,,,,,,,,1.82,74.28,,,,,,,,,,,,,,,,,
3.5,0.62,,0.25,11.03,,,,,,,,1.88,74.34,,,,,,,,,,,,,,,,,
3.6,0.65,,0.25,11.03,,,,,,,,1.94,74.4,,,,,,,,,,,,,,,,,
3.7,0.68,,0.26,11.03,,,,,,,,2.01,74.47,,,,,,,,,,,,,,,,,
3.82,0.71,,0.27,11.03,,,,,,,,2.09,74.55,,,,,,,,,,,,,,,,,
3.92,0.74,,0.27,11.03,,,,,,,,2.16,74.63,,,,,,,,,,,,,,,,,
4.04,0.77,,0.28,11.03,,,,,,,,2.25,74.72,,,,,,,,,,,,,,,,,
4.14,0.8,,0.28,11.03,,,,,,,,2.33,74.8,,,,,,,,,,,,,,,,,
4.24,0.83,,0.29,11.03,,,,,,,,2.41,74.88,,,,,,,,,,,,,,,,,
4.34,0.86,,0.3,11.03,,,,,,,,2.5,74.96,,,,,,,,,,,,,,,,,
4.44,0.89,,0.3,11.03,,,,,,,,2.59,75.05,,,,,,,,,,,,,,,,,
4.54,0.92,,0.31,11.03,,,,,,,,2.68,75.14,,,,,,,,,,,,,,,,,
4.66,0.96,,0.31,11.03,,,,,,,,2.79,75.25,,,,,,,,,,,,,,,,,
4.76,0.99,,0.32,11.03,,,,,,,,2.89,75.35,,,,,,,,,,,,,,,,,
4.88,1.03,,0.33,11.03,,,,,,,,3.01,75.47,,,,,,,,,,,,,,,,,
4.98,1.07,,0.33,11.03,,,,,,,,3.12,75.58,,,,,,,,,,,,,,,,,
5.08,1.1,,0.34,11.03,,,,,,,,3.22,75.69,,,,,,,,,,,,,,,,,
5.18,1.14,,0.34,11.03,,,,,,,,3.34,75.8,,,,,,,,,,,,,,,,,
5.3,1.18,,0.35,11.03,,,,,,,,3.48,75.94,,,,,,,,,,,,,,,,,
5.42,1.22,,0.36,11.03,,,,,,,,3.62,76.08,,,,,,,,,,,,,,,,,
5.52,1.26,,0.36,11.03,,,,,,,,3.75,76.21,,,,,,,,,,,,,,,,,
5.64,1.31,,0.37,11.03,,,,,,,,3.9,76.36,,,,,,,,,,,,,,,,,
5.74,1.34,,0.37,11.03,,,,,,,,4.03,76.5,,,,,,,,,,,,,,,,,
5.84,1.38,,0.38,11.03,,,,,,,,4.17,76.63,,,,,,,,,,,,,,,,,
5.94,1.42,,0.39,11.03,,,,,,,,4.31,76.77,,,,,,,,,,,,,,,,,
6.06,1.47,,0.39,11.03,,,,,,,,4.48,76.95,,,,,,,,,,,,,,,,,
6.16,1.51,,0.4,11.03,,,,,,,,4.63,77.1,,,,,,,,,,,,,,,,,
6.28,1.56,,0.4,11.03,,,,,,,,4.82,77.28,,,,,,,,,,,,,,,,,
6.38,1.6,,0.41,11.03,,,,,,,,4.98,77.44,,,,,,,,,,,,,,,,,
6.5,1.65,,0.42,11.03,,,,,,,,5.17,77.64,,,,,,,,,,,,,,,,,
6.6,1.7,,0.42,11.03,,,,,,,,5.34,77.8,,,,,,,,,,,,,,,,,
6.7,1.74,,0.43,11.03,,,,,,,,5.51,77.98,,,,,,,,,,,,,,,,,
6.8,1.79,,0.43,11.03,,,,,,,,5.69,78.15,,,,,,,,,,,,,,,,,
6.9,1.83,,0.44,11.03,,,,,,,,5.87,78.33,,,,,,,,,,,,,,,,,
7.02,1.88,,0.45,11.03,,,,,,,,6.09,78.56,,,,,,,,,,,,,,,,,
7.12,1.93,,0.45,11.03,,,,,,,,6.28,78.75,,,,,,,,,,,,,,,,,
7.22,1.98,,0.46,11.03,,,,,,,,6.48,78.94,,,,,,,,,,,,,,,,,
7.34,2.03,,0.47,11.03,,,,,,,,6.72,79.18,,,,,,,,,,,,,,,,,
7.44,2.08,,0.47,11.03,,,,,,,,6.93,79.39,,,,,,,,,,,,,,,,,
7.56,2.14,,0.48,11.03,,,,,,,,7.18,79.64,,,,,,,,,,,,,,,,,
7.66,2.19,,0.48,11.03,,,,,,,,7.4,79.86,,,,,,,,,,,,,,,,,
7.76,2.24,,0.49,11.03,,,,,,,,7.62,80.08,,,,,,,,,,,,,,,,,
7.86,2.29,,0.5,11.03,,,,,,,,7.85,80.31,,,,,,,,,,,,,,,,,
7.98,2.35,,0.5,11.03,,,,,,,,8.13,80.59,,,,,,,,,,,,,,,,,
8.08,2.4,,0.51,11.03,,,,,,,,8.36,80.83,,,,,,,,,,,,,,,,,
8.18,2.45,,0.51,11.03,,,,,,,,8.61,81.07,,,,,,,,,,,,,,,,,
8.3,2.52,,0.52,11.03,,,,,,,,8.91,81.37,,,,,,,,,,,,,,,,,
8.4,2.57,,0.53,11.03,,,,,,,,9.16,81.62,,,,,,,,,,,,,,,,,
8.52,2.64,,0.53,11.03,,,,,,,,9.47,81.94,,,,,,,,,,,,,,,,,
8.62,2.69,,0.54,11.03,,,,,,,,9.74,82.2,,,,,,,,,,,,,,,,,
8.74,2.76,,0.55,11.03,,,,,,,,10.07,82.53,,,,,,,,,,,,,,,,,
8.86,2.83,,0.55,11.03,,,,,,,,10.4,82.87,,,,,,,,,,,,,,,,,
8.96,2.88,,0.56,11.03,,,,,,,,10.69,83.15,,,,,,,,,,,,,,,,,
9.08,2.95,,0.57,11.03,,,,,,,,11.04,83.5,,,,,,,,,,,,,,,,,
9.18,3.01,,0.57,11.03,,,,,,,,11.34,83.8,,,,,,,,,,,,,,,,,
9.3,3.08,,0.58,11.03,,,,,,,,11.7,84.17,,,,,,,,,,,,,,,,,
9.42,3.15,,0.59,11.03,,,,,,,,12.08,84.54,,,,,,,,,,,,,,,,,
9.52,3.21,,0.59,11.03,,,,,,,,12.4,84.86,,,,,,,,,,,,,,,,,
9.64,3.28,,0.6,11.03,,,,,,,,12.79,85.25,,,,,,,,,,,,,,,,,
9.74,3.35,,0.6,11.03,,,,,,,,13.12,85.58,,,,,,,,,,,,,,,,,
9.84,3.41,,0.61,11.03,,,,,,,,13.46,85.92,,,,,,,,,,,,,,,,,
9.94,3.47,,0.62,11.03,,,,,,,,13.8,86.27,,,,,,,,,,,,,,,,,
10.04,3.53,,0.62,11.03,,,,,,,,14.15,86.62,,,,,,,,,,,,,,,,,
10.14,3.6,,0.63,11.03,,,,,,,,14.51,86.97,,,,,,,,,,,,,,,,,
10.24,3.66,,0.63,11.03,,,,,,,,14.87,87.34,,,,,,,,,,,,,,,,,
10.34,3.73,,0.64,11.03,,,,,,,,15.24,87.71,,,,,,,,,,,,,,,,,
10.46,3.8,,0.65,11.03,,,,,,,,15.7,88.16,,,,,,,,,,,,,,,,,
10.56,3.87,,0.65,11.03,,,,,,,,16.08,88.54,,,,,,,,,,,,,,,,,
10.66,3.94,,0.66,11.03,,,,,,,,16.47,88.93,,,,,,,,,,,,,,,,,
10.76,4.01,,0.67,11.03,,,,,,,,16.87,89.33,,,,,,,,,,,,,,,,,
10.86,4.07,,0.67,11.03,,,,,,,,17.27,89.74,,,,,,,,,,,,,,,,,
10.96,4.14,,0.68,11.03,,,,,,,,17.68,90.15,,,,,,,,,,,,,,,,,
11.06,4.21,,0.68,11.03,,,,,,,,18.1,90.57,,,,,,,,,,,,,,,,,
11.16,4.28,,0.69,11.03,,,,,,,,18.53,90.99,,,,,,,,,,,,,,,,,
11.28,4.37,,0.7,11.03,,,,,,,,19.05,91.51,,,,,,,,,,,,,,,,,
11.38,4.44,,0.7,11.03,,,,,,,,19.49,91.95,,,,,,,,,,,,,,,,,
11.48,4.51,,0.71,11.03,,,,,,,,19.94,92.4,,,,,,,,,,,,,,,,,
11.58,4.58,,0.71,11.03,,,,,,,,20.39,92.85,,,,,,,,,,,,,,,,,
11.68,4.65,,0.72,11.03,,,,,,,,20.85,93.32,,,,,,,,,,,,,,,,,
11.78,4.73,,0.73,11.03,,,,,,,,21.32,93.79,,,,,,,,,,,,,,,,,
11.88,4.8,,0.73,11.03,,,,,,,,21.8,94.26,,,,,,,,,,,,,,,,,
11.98,4.88,,0.74,11.03,,,,,,,,22.28,94.75,,,,,,,,,,,,,,,,,
12.08,4.95,,0.74,11.04,,,,,,,,22.78,95.24,,,,,,,,,,,,,,,,,
12.2,5.04,,0.75,11.04,,,,,,,,23.38,95.84,,,,,,,,,,,,,,,,,
12.3,5.12,,0.76,11.04,,,,,,,,23.88,96.35,,,,,,,,,,,,,,,,,
12.4,5.2,,0.76,11.04,,,,,,,,24.4,96.86,,,,,,,,,,,,,,,,,
12.5,5.27,,0.77,11.04,,,,,,,,24.92,97.39,,,,,,,,,,,,,,,,,
12.6,5.35,,0.78,11.04,,,,,,,,25.46,97.92,,,,,,,,,,,,,,,,,
12.7,5.43,,0.78,11.04,,,,,,,,26,98.46,,,,,,,,,,,,,,,,,
12.82,5.53,,0.79,11.04,,,,,,,,26.66,99.12,,,,,,,,,,,,,,,,,
12.92,5.61,,0.79,11.04,,,,,,,,27.21,99.68,,,,,,,,,,,,,,,,,
13.02,5.69,,0.8,11.04,,,,,,,,27.78,100.24,,,,,,,,,,,,,,,,,
13.12,5.77,,0.81,11.04,,,,,,,,28.35,100.81,,,,,,,,,,,,,,,,,
13.22,5.85,,0.81,11.04,,,,,,,,28.93,101.4,,,,,,,,,,,,,,,,,
13.32,5.93,,0.82,11.04,,,,,,,,29.52,101.99,,,,,,,,,,,,,,,,,
13.42,6.02,,0.82,11.04,,,,,,,,30.12,102.58,,,,,,,,,,,,,,,,,
13.52,6.1,,0.83,11.04,,,,,,,,30.73,103.19,,,,,,,,,,,,,,,,,
13.62,6.19,,0.84,11.04,,,,,,,,31.34,103.81,,,,,,,,,,,,,,,,,
13.72,6.27,,0.84,11.04,,,,,,,,31.97,104.43,,,,,,,,,,,,,,,,,
13.82,6.36,,0.85,11.04,,,,,,,,32.6,105.06,,,,,,,,,,,,,,,,,
13.92,6.44,,0.86,11.04,,,,,,,,33.24,105.7,,,,,,,,,,,,,,,,,
14.02,6.53,,0.86,11.04,,,,,,,,33.89,106.35,,,,,,,,,,,,,,,,,
14.12,6.62,,0.87,11.04,,,,,,,,34.55,107.01,,,,,,,,,,,,,,,,,
14.22,6.71,,0.87,11.04,,,,,,,,35.21,107.68,,,,,,,,,,,,,,,,,
14.34,6.81,,0.88,11.04,,,,,,,,36.03,108.49,,,,,,,,,,,,,,,,,
14.46,6.92,,0.89,11.04,,,,,,,,36.85,109.31,,,,,,,,,,,,,,,,,
14.56,7.01,,0.89,11.04,,,,,,,,37.55,110.01,,,,,,,,,,,,,,,,,
14.66,7.1,,0.9,11.04,,,,,,,,38.26,110.72,,,,,,,,,,,,,,,,,
14.76,7.19,,0.91,11.04,,,,,,,,38.97,111.43,,,,,,,,,,,,,,,,,
14.86,7.29,,0.91,11.04,,,,,,,,39.7,112.16,,,,,,,,,,,,,,,,,
14.96,7.38,,0.92,11.04,,,,,,,,40.43,112.89,,,,,,,,,,,,,,,,,
15.06,7.47,,0.92,11.04,,,,,,,,41.17,113.64,,,,,,,,,,,,,,,,,
15.16,7.57,,0.93,11.04,,,,,,,,41.93,114.39,,,,,,,,,,,,,,,,,
15.26,7.66,,0.94,11.04,,,,,,,,42.69,115.15,,,,,,,,,,,,,,,,,
15.36,7.76,,0.94,11.04,,,,,,,,43.46,115.92,,,,,,,,,,,,,,,,,
15.48,7.87,,0.95,11.04,,,,,,,,44.4,116.86,,,,,,,,,,,,,,,,,
15.58,7.97,,0.96,11.04,,,,,,,,45.19,117.65,,,,,,,,,,,,,,,,,
15.68,8.06,,0.96,11.04,,,,,,,,45.99,118.46,,,,,,,,,,,,,,,,,
15.78,8.16,,0.97,11.04,,,,,,,,46.81,119.27,,,,,,,,,,,,,,,,,
15.88,8.26,,0.97,11.04,,,,,,,,47.63,120.09,,,,,,,,,,,,,,,,,
15.98,8.36,,0.98,11.04,,,,,,,,48.46,120.92,,,,,,,,,,,,,,,,,
16.1,8.48,,0.99,11.04,,,,,,,,49.47,121.93,,,,,,,,,,,,,,,,,
16.22,8.6,,1,11.04,,,,,,,,50.5,122.96,,,,,,,,,,,,,,,,,
16.32,8.7,,1,11.04,,,,,,,,51.36,123.83,,,,,,,,,,,,,,,,,
16.42,8.8,,1.01,11.04,,,,,,,,52.24,124.7,,,,,,,,,,,,,,,,,
16.54,8.93,,1.02,11.04,,,,,,,,53.3,125.77,,,,,,,,,,,,,,,,,
16.64,9.03,,1.02,11.04,,,,,,,,54.2,126.67,,,,,,,,,,,,,,,,,
16.78,9.17,,1.03,11.04,,,,,,,,55.48,127.94,,,,,,,,,,,,,,,,,
16.9,9.3,,1.04,11.04,,,,,,,,56.59,129.05,,,,,,,,,,,,,,,,,
17,9.4,,1.04,11.04,,,,,,,,57.52,129.99,,,,,,,,,,,,,,,,,
17.1,9.51,,1.05,11.04,,,,,,,,58.47,130.93,,,,,,,,,,,,,,,,,
17.22,9.64,,1.06,11.04,,,,,,,,59.62,132.08,,,,,,,,,,,,,,,,,
17.32,9.75,,1.06,11.04,,,,,,,,60.59,133.05,,,,,,,,,,,,,,,,,
17.42,9.85,,1.07,11.04,,,,,,,,61.57,134.03,,,,,,,,,,,,,,,,,
17.54,9.98,,1.08,11.04,,,,,,,,62.76,135.23,,,,,,,,,,,,,,,,,
17.64,10.09,,1.08,11.04,,,,,,,,63.77,136.23,,,,,,,,,,,,,,,,,
17.76,10.22,,1.09,11.05,,,,,,,,64.99,137.45,,,,,,,,,,,,,,,,,
17.9,10.38,,1.1,11.05,,,,,,,,66.43,138.89,,,,,,,,,,,,,,,,,
18,10.49,,1.1,11.05,,,,,,,,67.48,139.94,,,,,,,,,,,,,,,,,
18.1,10.6,,1.11,11.05,,,,,,,,68.53,140.99,,,,,,,,,,,,,,,,,
18.22,10.74,,1.12,11.05,,,,,,,,69.81,142.28,,,,,,,,,,,,,,,,,
18.32,10.85,,1.12,11.05,,,,,,,,70.89,143.36,,,,,,,,,,,,,,,,,
18.42,10.97,,1.13,11.05,,,,,,,,71.99,144.45,,,,,,,,,,,,,,,,,
18.54,11.1,,1.14,11.05,,,,,,,,73.31,145.77,,,,,,,,,,,,,,,,,
18.64,11.22,,1.14,11.05,,,,,,,,74.43,146.89,,,,,,,,,,,,,,,,,
18.76,11.36,,1.15,11.05,,,,,,,,75.78,148.25,,,,,,,,,,,,,,,,,
18.9,11.52,,1.16,11.05,,,,,,,,77.39,149.85,,,,,,,,,,,,,,,,,
19,11.64,,1.17,11.05,,,,,,,,78.55,151.01,,,,,,,,,,,,,,,,,
19.12,11.78,,1.17,11.05,,,,,,,,79.95,152.42,,,,,,,,,,,,,,,,,
19.24,11.92,,1.18,11.05,,,,,,,,81.38,153.84,,,,,,,,,,,,,,,,,
19.34,12.04,,1.19,11.05,,,,,,,,82.58,155.04,,,,,,,,,,,,,,,,,
19.46,12.19,,1.19,11.05,,,,,,,,84.03,156.49,,,,,,,,,,,,,,,,,
19.58,12.33,,1.2,11.05,,,,,,,,85.5,157.97,,,,,,,,,,,,,,,,,
19.68,12.46,,1.21,11.05,,,,,,,,86.74,159.21,,,,,,,,,,,,,,,,,
19.78,12.58,,1.21,11.05,,,,,,,,88,160.46,,,,,,,,,,,,,,,,,
19.9,12.73,,1.22,11.05,,,,,,,,89.52,161.98,,,,,,,,,,,,,,,,,
20,12.85,,1.23,11.05,,,,,,,,90.8,163.26,,,,,,,,,,,,,,,,,
20.12,13,,1.24,11.05,,,,,,,,92.35,164.81,,,,,,,,,,,,,,,,,
20.24,13.15,,1.24,11.05,,,,,,,,93.92,166.38,,,,,,,,,,,,,,,,,
20.34,13.27,,1.25,11.05,,,,,,,,95.24,167.7,,,,,,,,,,,,,,,,,
20.46,13.43,,1.26,11.05,,,,,,,,96.84,169.31,,,,,,,,,,,,,,,,,
20.58,13.58,,1.26,11.05,,,,,,,,98.46,170.93,,,,,,,,,,,,,,,,,
20.7,13.73,,1.27,11.05,,,,,,,,100.1,172.57,,,,,,,,,,,,,,,,,
20.8,13.86,,1.28,11.05,,,,,,,,101.49,173.95,,,,,,,,,,,,,,,,,
20.92,14.02,,1.28,11.05,,,,,,,,103.16,175.62,,,,,,,,,,,,,,,,,
21.04,14.17,,1.29,11.05,,,,,,,,104.85,177.31,,,,,,,,,,,,,,,,,
21.14,14.3,,1.3,11.06,,,,,,,,106.28,178.74,,,,,,,,,,,,,,,,,
21.26,14.46,,1.31,11.06,,,,,,,,108,180.47,,,,,,,,,,,,,,,,,
